outbreak_id,premises,state,state_name,flyway,herd_flock_type,production_type,link,lon,lat,week_id,iso_year,iso_week,week_start,case_week_start,is_case_week,lag_weeks_from_case
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W12,2022,12,2022-03-21,2022-04-25,0,-5
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W13,2022,13,2022-03-28,2022-04-25,0,-4
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W14,2022,14,2022-04-04,2022-04-25,0,-3
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W15,2022,15,2022-04-11,2022-04-25,0,-2
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W16,2022,16,2022-04-18,2022-04-25,0,-1
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W17,2022,17,2022-04-25,2022-04-25,1,0
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W18,2022,18,2022-05-02,2022-04-25,0,1
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W19,2022,19,2022-05-09,2022-04-25,0,2
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W20,2022,20,2022-05-16,2022-04-25,0,3
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W21,2022,21,2022-05-23,2022-04-25,0,4
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W22,2022,22,2022-05-30,2022-04-25,0,5
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W23,2022,23,2022-06-06,2022-04-25,0,6
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W24,2022,24,2022-06-13,2022-04-25,0,7
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W25,2022,25,2022-06-20,2022-04-25,0,8
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W26,2022,26,2022-06-27,2022-04-25,0,9
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W27,2022,27,2022-07-04,2022-04-25,0,10
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W28,2022,28,2022-07-11,2022-04-25,0,11
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W29,2022,29,2022-07-18,2022-04-25,0,12
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W30,2022,30,2022-07-25,2022-04-25,0,13
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W31,2022,31,2022-08-01,2022-04-25,0,14
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W32,2022,32,2022-08-08,2022-04-25,0,15
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W33,2022,33,2022-08-15,2022-04-25,0,16
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W34,2022,34,2022-08-22,2022-04-25,0,17
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W35,2022,35,2022-08-29,2022-04-25,0,18
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W36,2022,36,2022-09-05,2022-04-25,0,19
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W37,2022,37,2022-09-12,2022-04-25,0,20
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W38,2022,38,2022-09-19,2022-04-25,0,21
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W39,2022,39,2022-09-26,2022-04-25,0,22
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W40,2022,40,2022-10-03,2022-04-25,0,23
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W41,2022,41,2022-10-10,2022-04-25,0,24
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W42,2022,42,2022-10-17,2022-04-25,0,25
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W43,2022,43,2022-10-24,2022-04-25,0,26
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W44,2022,44,2022-10-31,2022-04-25,0,27
2,Matanuska Susitna 01,AK,Alaska,PAC,Backyard,Backyard Producer,IND,-149.32593,61.56419,2022-W45,2022,45,2022-11-07,2022-04-25,0,28
