parameterisation,panel,exposure,window,spring,outside,ratio,p_interaction
90-day rolling anomaly,Minnesota,Runoff,0-7 days,"0.98 (0.74, 1.29)","1.03 (0.74, 1.45)","0.94 (0.61, 1.46)",0.797
90-day rolling anomaly,Minnesota,Runoff,8-14 days,"1.00 (0.83, 1.20)","0.99 (0.80, 1.23)","1.01 (0.76, 1.34)",0.951
90-day rolling anomaly,Minnesota,Runoff,15-21 days,"1.02 (0.84, 1.23)","0.96 (0.77, 1.19)","1.07 (0.80, 1.42)",0.664
90-day rolling anomaly,Minnesota,Runoff,22-28 days,"1.04 (0.80, 1.35)","0.92 (0.70, 1.22)","1.13 (0.77, 1.65)",0.542
90-day rolling anomaly,Minnesota,Anseriformes,0-7 days,"0.83 (0.51, 1.33)","0.80 (0.35, 1.82)","1.03 (0.40, 2.68)",0.945
90-day rolling anomaly,Minnesota,Anseriformes,8-14 days,"1.20 (0.99, 1.45)","1.18 (0.79, 1.76)","1.02 (0.65, 1.58)",0.945
90-day rolling anomaly,Minnesota,Anseriformes,15-21 days,"1.66 (1.26, 2.18)","1.65 (1.04, 2.62)","1.00 (0.59, 1.71)",0.993
90-day rolling anomaly,Minnesota,Anseriformes,22-28 days,"2.29 (1.36, 3.88)","2.32 (1.04, 5.16)","0.99 (0.38, 2.58)",0.983
90-day rolling anomaly,Pooled,Temperature,0-7 days,"1.30 (0.94, 1.81)","1.07 (0.51, 2.24)","1.22 (0.54, 2.74)",0.632
90-day rolling anomaly,Pooled,Temperature,8-14 days,"1.23 (1.01, 1.50)","1.11 (0.70, 1.74)","1.11 (0.68, 1.83)",0.668
90-day rolling anomaly,Pooled,Temperature,15-21 days,"1.21 (1.00, 1.47)","1.15 (0.74, 1.80)","1.05 (0.65, 1.70)",0.848
90-day rolling anomaly,Pooled,Temperature,22-28 days,"1.19 (0.90, 1.56)","1.20 (0.65, 2.22)","0.99 (0.51, 1.93)",0.968
90-day rolling anomaly,Pooled,Precipitation,0-7 days,"0.88 (0.72, 1.07)","1.04 (0.77, 1.39)","0.85 (0.59, 1.21)",0.369
90-day rolling anomaly,Pooled,Precipitation,8-14 days,"0.92 (0.81, 1.04)","1.04 (0.84, 1.28)","0.88 (0.69, 1.12)",0.31
90-day rolling anomaly,Pooled,Precipitation,15-21 days,"0.94 (0.84, 1.05)","1.04 (0.84, 1.29)","0.90 (0.71, 1.14)",0.378
90-day rolling anomaly,Pooled,Precipitation,22-28 days,"0.96 (0.83, 1.10)","1.05 (0.80, 1.37)","0.91 (0.67, 1.24)",0.556
90-day rolling anomaly,Pooled,Soil moisture,0-7 days,"0.91 (0.72, 1.14)","0.78 (0.63, 0.95)","1.17 (0.86, 1.59)",0.326
90-day rolling anomaly,Pooled,Soil moisture,8-14 days,"0.95 (0.83, 1.09)","0.84 (0.74, 0.96)","1.13 (0.93, 1.37)",0.218
90-day rolling anomaly,Pooled,Soil moisture,15-21 days,"0.98 (0.86, 1.12)","0.88 (0.77, 1.01)","1.11 (0.92, 1.35)",0.269
90-day rolling anomaly,Pooled,Soil moisture,22-28 days,"1.02 (0.85, 1.22)","0.93 (0.77, 1.11)","1.10 (0.85, 1.42)",0.479
90-day rolling anomaly,Pooled,Wind speed,0-7 days,"1.23 (1.04, 1.45)","0.91 (0.72, 1.14)","1.36 (1.02, 1.80)",0.033
90-day rolling anomaly,Pooled,Wind speed,8-14 days,"1.10 (0.98, 1.23)","0.94 (0.82, 1.08)","1.17 (0.98, 1.39)",0.083
90-day rolling anomaly,Pooled,Wind speed,15-21 days,"1.02 (0.91, 1.14)","0.97 (0.84, 1.11)","1.05 (0.88, 1.25)",0.569
90-day rolling anomaly,Pooled,Wind speed,22-28 days,"0.94 (0.82, 1.08)","0.99 (0.82, 1.21)","0.95 (0.75, 1.21)",0.663
90-day rolling anomaly,Pooled,Runoff,0-7 days,"0.95 (0.77, 1.17)","1.11 (0.86, 1.43)","0.85 (0.61, 1.19)",0.35
90-day rolling anomaly,Pooled,Runoff,8-14 days,"1.01 (0.88, 1.16)","1.01 (0.86, 1.19)","1.00 (0.81, 1.23)",0.968
